Time,CO2_Temperature_Outlet,CO2_Temperature_Inlet,
2025/04/28 11:13:42.000,-35.259998321533,,
2025/04/28 11:13:48.000,-35.369998931885,,
2025/04/28 11:13:54.000,-35.259998321533,-33.939998626709,
2025/04/28 11:13:59.000,-35.369998931885,,
2025/04/28 11:14:04.000,,-34.04999923706,
2025/04/28 11:14:10.000,-35.259998321533,,
2025/04/28 11:14:16.000,-35.369998931885,,
2025/04/28 11:14:27.000,,-33.939998626709,
2025/04/28 11:14:33.000,,-34.04999923706,
2025/04/28 11:14:39.000,,-33.939998626709,
2025/04/28 11:14:45.000,-35.259998321533,-33.829998016357,
2025/04/28 11:14:50.000,-35.149997711182,-33.599998474121,
2025/04/28 11:14:56.000,,-33.48999786377,
2025/04/28 11:15:02.000,-35.040000915527,-33.380001068115,
2025/04/28 11:15:07.000,-34.930000305176,-33.270000457764,
2025/04/28 11:15:24.000,,-33.159999847412,
2025/04/28 11:15:29.000,-34.819999694824,,
2025/04/28 11:15:41.000,-34.709999084473,-33.04999923706,
2025/04/28 11:15:53.000,-34.48999786377,-32.939998626709,
2025/04/28 11:15:59.000,-34.599998474121,-32.829998016357,
2025/04/28 11:16:05.000,-34.48999786377,,
2025/04/28 11:16:10.000,-34.380001068115,,
2025/04/28 11:16:16.000,-34.159999847412,-32.719997406006,
2025/04/28 11:16:21.000,-34.380001068115,,
2025/04/28 11:16:26.000,,-32.610000610352,
2025/04/28 11:16:32.000,-34.159999847412,,
2025/04/28 11:16:38.000,,-32.5,
2025/04/28 11:16:49.000,-34.270000457764,-32.389999389648,
2025/04/28 11:16:55.000,-34.159999847412,,
2025/04/28 11:17:01.000,,-32.279998779297,
2025/04/28 11:17:06.000,-34.04999923706,,
2025/04/28 11:17:11.000,,-32.169998168945,
2025/04/28 11:17:17.000,-33.939998626709,,
2025/04/28 11:17:23.000,,-32.059997558594,
2025/04/28 11:17:28.000,,-31.949998855591,
2025/04/28 11:17:45.000,,-31.840000152588,
2025/04/28 11:18:08.000,-33.829998016357,-31.729999542236,
2025/04/28 11:18:37.000,-33.709999084473,-31.619998931885,
2025/04/28 11:18:48.000,,-31.5,
2025/04/28 11:19:17.000,,-31.389999389648,
2025/04/28 11:19:29.000,-33.599998474121,,
2025/04/28 11:19:34.000,-33.709999084473,,
2025/04/28 11:20:26.000,-33.599998474121,,
2025/04/28 11:20:31.000,-33.709999084473,,
2025/04/28 11:20:59.000,-33.599998474121,,
2025/04/28 11:21:05.000,-33.709999084473,,
2025/04/28 11:21:49.000,,-31.5,
2025/04/28 11:21:54.000,,-31.389999389648,
2025/04/28 11:22:43.000,,-31.5,
2025/04/28 11:22:49.000,,-31.389999389648,
2025/04/28 11:23:16.000,,-31.5,
2025/04/28 11:23:22.000,-33.829998016357,,
2025/04/28 11:24:28.000,,-31.619998931885,
2025/04/28 11:24:34.000,-33.939998626709,,
2025/04/28 11:24:46.000,-33.829998016357,,
2025/04/28 11:25:14.000,,-31.5,
2025/04/28 11:25:25.000,,-31.619998931885,
2025/04/28 11:25:30.000,,-31.5,
2025/04/28 11:25:47.000,-33.939998626709,,
2025/04/28 11:25:59.000,-33.829998016357,-31.619998931885,
2025/04/28 11:26:05.000,-33.939998626709,,
2025/04/28 11:26:10.000,-33.829998016357,-31.5,
2025/04/28 11:26:16.000,-33.939998626709,,
2025/04/28 11:26:22.000,-33.829998016357,,
2025/04/28 11:26:28.000,-33.939998626709,-31.619998931885,
2025/04/28 11:27:13.000,-34.04999923706,,
2025/04/28 11:27:19.000,-33.939998626709,,
2025/04/28 11:27:25.000,-34.04999923706,-31.729999542236,
2025/04/28 11:27:41.000,-33.939998626709,-31.619998931885,
2025/04/28 11:27:52.000,,-31.729999542236,
2025/04/28 11:27:58.000,,-31.619998931885,
2025/04/28 11:28:33.000,-33.829998016357,,
2025/04/28 11:28:39.000,-33.939998626709,,
2025/04/28 11:28:51.000,-33.829998016357,,
2025/04/28 11:28:56.000,-33.939998626709,,
2025/04/28 11:29:13.000,-34.04999923706,,
2025/04/28 11:29:19.000,-33.939998626709,,
2025/04/28 11:29:24.000,-34.04999923706,,
2025/04/28 11:29:30.000,-33.939998626709,,
2025/04/28 11:29:58.000,-34.04999923706,,
2025/04/28 11:30:03.000,-33.939998626709,,
2025/04/28 11:30:09.000,-34.04999923706,-31.729999542236,
2025/04/28 11:30:15.000,-33.939998626709,-31.619998931885,
2025/04/28 11:30:26.000,-34.04999923706,-31.729999542236,
2025/04/28 11:30:32.000,-33.939998626709,,
2025/04/28 11:30:38.000,,-31.619998931885,
2025/04/28 11:30:43.000,,-31.729999542236,
2025/04/28 11:30:49.000,,-31.619998931885,
2025/04/28 11:31:01.000,,-31.729999542236,
